prístrešie;6.245283018867925;stavba,zemľanka,prístav,chatrč,chata,útočisko,stan
pole;6.62;farma,pestovanie,lúka,trakt,obilné pole, trávnik, dvor
jablko;3.66;plod,ovocie
orol;7.839285714285714;vták,predátor,lovec
doktor;7.18;chirurg,veterinár,internista,gastroenterológ
azyl;10.0;útočisko,prístrešie
atóm;12.38888888888889;látka,izotop,prvok
auto;4.1;vozidlo,limuzína,kabriolet,kupé
bábätko;3.792452830188679;dieťa,novorodenec,batoľa,dojča
hora;5.758064516129032;kopec,Tatry,Alpy
kniha;4.838709677419355;publikácia,brožúra,katalóg,rozprávka,román
farmár;5.196428571428571;poľnohospodár,včelár,pestovateľ
ikry;13.928571428571429;kaviár,ryba,vajcia
oheň;5.796296296296297;požiar,uhlie,vatra,táborák
brat;3.792452830188679;súrodenec,rodina
chlieb;3.8518518518518516;jedlo,pečivo,múka,sendvič
démon;11.851851851851851;diaboľ,satan,peklo,zlo
zviera;3.8;organizmus,cicavec,plaz,tvor
obeť;10.62962962962963;zavraždený,mučeník,korisť
rozdiel;12.882352941176471;nedorozumenie,rozmanitosť,inakosť,odlišnosť,rozpor
elita;12.543859649122806;vyššia_trieda,vyvolený,smotánka,šľachta
chyba;13.392156862745098;nezvládnutie,zmätok,nedopatrenie,hlúpsť
povesť;11.481481481481481;časť,renomé,sláva,meno
zločinec;12.133333333333333;zloduch,zlodej,mafián,vrah,gangster
flóra;10.481481481481481;stromy,rastliny,záhrada,porast
peniaze;4.842105263157895;hotovosť,platidlo
cech;11.338709677419354;spolok,asociácia,klub
sklo;4.666666666666667;okno,fľaša,zrkadlo
sociálne_zabezpečenie;11.0;pomoc,poistenie,podpora
dutina;7.935483870967742;diera,jaskyňa,jama
pes;4.048387096774194;cicavec,korgi,dunčo,šteňa,domáce_zviera
kosť;10.040816326530612;lebka,dreň,časť_tela,rebro
náboj;7.092592592592593;projektil,strela,pištol,zbraň
pieseň;12.363636363636363;skladba,balada,hymna,serenáda
plač;7.824561403508772;rev,krik,húkanie
smiech;5.0701754385964914;chichot,úsmev,vtip,zábava
lampa;4.821428571428571;zdroj_svetla,sviečka,lanterna,osvetlenie,svetlo
slogan;10.975609756097562;príslovie
sila;8.641509433962264;elektrická,moc,vplyv,potenciál
žena;5.859649122807017;človek,manželka,dievča,matriarcha
mlieko;4.140350877192983;nápoj,krava,laktóza,cmar,acidko
človek;4.767857142857143;muž,žena,hominid,neandrtálec,homo_sapiens
maloletý;13.372093023255815;mladistvý,dieťa,školák,batoľa
oxid;13.5;zlúčenina,chemikália,hrdza
papier;13.36;materiál,papyrus,dokument,zošit
otec;7.403225806451613;rodič,muž,rodina
pizza;7.321428571428571;jedlo,prílohy,syr,margarita
mor;8.157894736842104;epidémia,choroba,čierny_kašeľ,zhuba
cena;6.264150943396227;hodnota,nákup,platba
princ;4.56;aristokrat,kráľ,dedič
lopta;8.407407407407407;hra,fotbal,ping_pong,guľa
próza;12.84;novla,román,kniha,literatúra
rozsah;12.547619047619047;spektrum,miera
rozum;13.767857142857142;motív,rozhodovanie,zmýšľanie,uvažovanie
